category,type,name,text,sprite,action,nextCategory,mental
tutorial_0,대사,주인공,이것은 튜토리얼.,,,,
tutorial_0,대사,주인공,그리고 나는 주인공.,,PrintHi,,
tutorial_0,대사,엑스트라,헉… 주인공이라니…!,,,,
tutorial_0,대사,엑스트라,난 엑스트란데….,,,,
tutorial_0,대사,주인공,하하하! 이것이 주인공!,,,,
tutorial_0,대사,엑스트라,엑스트라는 퇴장할래 ㅠㅠ,,,tutorial_1,
,,,,,,,
tutorial_1,대사,주인공,가버리다니…. 너무 슬프다.,,,,
tutorial_1,대사,주인공,이제 게임 소개를 하겠다.,,,,
tutorial_1,알림,,잠깐! 나는 알림창,,,,
tutorial_1,알림,,대사와는 조금 다르지!,,,,
tutorial_1,대사,주인공,그렇구나! 튜토리얼을 더 볼래?,,,,
tutorial_1,선택지2,,응,,,tutorial_yes,
tutorial_1,선택지2,,아니,,,tutorial_no,
,,,,,,,
tutorial_yes,대사,주인공,고맙지만 준비한 건 여기까지야.. 안녕…,,,,
,,,,,,,
tutorial_no,대사,주인공,그래 가버려. 안녕.,,,,
