category,type,name,text,action,nextCategory,mental
intro,알림,,"(생각없이 보내는 겨울방학, 나는 친구들과 놀면서 시간을 보내고 있다.)",ToCoinSong,,
intro,대사,나,1년이 순식간에 지나가 버렸네….. 나는 1학년을 의미있게 보낸건가?,ToRoom,,
intro,대사,나,"이제는 1년이 지났으니, 1학년처럼 시간을 낭비하면서 살 수 없어. 건설적이고 의미있는 활동이 필요해.",,,
intro,알림,,(1년의 시간을 흐지부지 보낸 나. 스스로의 일상에 환기의 필요성을 느낀다.),,,
intro,대사,나,"저번에 분명히 친구가 동아리에 들어가자고 했었는데, 당시에는 게임이 너무 재밌어서 별 생각을 하지를 못했다. ",,,
intro,대사,나,하지만 이제 나도 동아리같은 곳에서 의미있는 시간을 보낼 필요가 있을 것 같아.,,,
intro,알림,,(기존의 의미없던 학교생활에 활력을 더할 동아리 활동을 생각하게 된 나. 이제 대학생활에 적응을 잘하는 것 같다.),,,
intro,대사,나,"방학이 끝나고 새학기가 시작되면, 바로 마음에 드는 동아리부터 들어가야겠어.",,friend,
,,,,,,
friend,알림,,(새학년 새학기의 목표를 세운 나. 겨울방학이 지나가고 새로운 학기가 찾아왔다.),,,
friend,알림,,"(나는 1년간 지내던 기숙사를 나와서, 부모님의 도움 아래 자취를 시작하였다.)",,,
friend,대사,나,야 피방빌런 오랜만이다?,ToPCRoom,,
friend,대사,대학친구1,어 그래 왔나?,,,
friend,알림,,"(나는 절친과 간단한 인사를 하고, 피방에서 같이 게임을 하던 도중 바로 본론으로 들어간다.)",,,
friend,대사,나,야 너 동아리 생각있냐?,,,
friend,대사,대학친구1,"동아리? 생각해본적 없는데, 너가 들어가면 나도 같이 들어가지 뭐.",,,
friend,대사,나,아 그래? 그럼 나랑 같이 동아리 한번 같이 찾아보자.,,,
friend,대사,대학친구1,오케이 알겠다.,,,
friend,알림,,(절친과 간단한 대화를 마치고 방으로 돌아온 나는 생각에 잠긴다.),ToRoom,,
friend,대사,나,어떤 동아리를 드는게 좋지? 뭔가 가볍게 할 수 있는 그런 거면 좋겠는데….,,,
friend,알림,,"(나는 동아리에 관련된 것을 이것저것 찾아보다가, 이내 귀찮은지 게임동영상을 보다가 잠이 든다.)",,clubBooth,
,,,,,,
clubBooth,대사,대학교수3,%$%&##^&$#........,ToClassRoom,,
clubBooth,알림,,(2학년이 된 나는 이제 전공 과목들을 본격적으로 수강하기 시작한다. 나는 도저히 교수님이 무슨 말씀을 하시는지 이해를 할 수가 없다.),,,
clubBooth,대사,나,아니 저게 뭔 소리야? 이해가 안되네.,,,
clubBooth,대사,대학친구1,야 어차피 이해안되는거 그냥 출튀할래? 장실가는 척하면서 몰래 나가자.,,,
clubBooth,대사,나,걸리면 끝아니야?,,,
clubBooth,대사,대학친구1,알아보니까 저분 검사 잘 안하신다는데. 이럴때 한번 해봐야지.,,,
clubBooth,알림,,(꼬드김에 넘어간 나는 이내 수업에서 도망가 동아리 홍보 부스로 간다.),ToSchool,,
clubBooth,알림,,(동아리 홍보 부스에는 많은 학생들이 본인 동아리에 대하여 홍보중에 있다.),,,
clubBooth,대사,나,야 되게 많네? 어디 들어가야하나?,,,
clubBooth,대사,대학친구1,저기 어때? 게임동아리.,,,
clubBooth,대사,나,너는 게임밖에 생각이 없냐? 한국대 어떻게 왔지?,,,
clubBooth,대사,대학친구1,뭐든 하나에 열정이 있는건 좋은 거지.,,,
clubBooth,알림,,(뚝심있는 절친의 대답에 말문을 잃어버린 나. 친구의 대답에 따라 게임동아리로 가본다.),,,
clubBooth,대사,홍보학생1,동아리에 관심있어서 오셨나요?,,,
clubBooth,대사,나,네. 어떤 동아리인지 알고 싶어서요.,,,
clubBooth,알림,,(이내 나과 절친은 동아리에 관련하여 이것저것 얘기를 듣고 동아리에 가입한다.),,,
clubBooth,대사,홍보학생1,매주 하루 씩 정기모임 있으니 참고하시고요. 아 그리고 얼마후에 저희 동아리 MT있으니 오셔도 좋을것 같아요.,,,
clubBooth,대사,나,아 MT요? 네 알겠습니다.,,,
clubBooth,알림,,"(MT라는 말을 듣고 잠시 생각에 잠기는 나. 1학년 때 한번 가봤지만, 그때는 아는 사람도 거의 없고 소심했던지라 별로 기억에 남지는 않았다.)",OffBG,,
clubBooth,대사,나,"이제는 친한 친구도 있고, 한번 다시 가보면 재미있을거 같아.",,mt,
,,,,,,
mt,알림,,"(평범한 일상이 지나간 뒤, MT날이 찾아왔다.)",,,
mt,대사,나,야 왔냐? 긴장된다.,ToRoad,,
