category,type,name,text,action,nextCategory,mental
stage1,,나,제발 제발 제발,ToRoom,,
stage1,나레이션,,(나는 버튼을 클릭했다. 잠시 후 챔피언 브금이 울려펴진다.),,,
stage1,,나,와 합격이다!,,,
stage1,나레이션,,(나는 감격에 겨워 잠시동안 가만히 화면을 들여다본다. 이 순간이 인생에서 제일 행복한 순간인 듯 하다. 이내 나는 핸드폰으로 이곳저곳 연락을 보낸다.),,,
stage1,,나,[야 나 한국대 합격했다. ㅋㅋ],,,
stage1,,친구1,[오 진짜? 야 축하한다. 한번 만나야지],,,
stage1,,친구2,[아니 내 주변에 한국대생이 생긴다고?],,,
stage1,,나,[당연히 만나야지. 내일 어떤데?],,,
stage1,나레이션,,(나는 남은 기간 친구들과 즐거운 시간을 보낸다. 앞으로 펼쳐질 시간에 비하여 너무나도 행복한 순간이다.),,,
stage1,,나,벌써 시간이 이렇게 지났나…..,ToPCRoom,,
stage1,나레이션,,(내일은 신입생 오리엔테이션의 날이다. 즐거운 시간은 왜 이렇게 빨리 지나가는 건지 궁금하다.),,,
stage1,,나,게임할 때나 놀 때는 시간이 왜 이렇게 빠르냐. 수능이 끝나면 힘든건 다 끝나는거 같았는데,,,
stage1,나레이션,,(나는 다가오는 현실이 믿기지 않는다. 큰 산을 하나 넘었더니 큰 산이 하나 더 기다리는 느낌이다.),ToRoom,,
stage1,,나,별거 없겠지. 다들 1학년때는 노는 학년이라고 한다잖아.,,,
stage1,나레이션,,(나는 어디서 별 이상한 소리를 들은 모양이다. 나중에 후회할 것이 뻔히 보인다.),,,
stage1,나레이션,,(한국대학교는 시간이 지나도 변함없이 학생들의 목표이다. 이내 나는 한국대학교의 정문에 발을 디딘다.),ToSchool,,
stage1,,나,와 내가 이 대학에 다니는 날이 오다니.,,,
stage1,나레이션,,(주변이 소란스럽고 다양한 신입생들이 이리저리 둘러보고 있다.),,,
stage1,,나,빨리 OT 장소로 가자.,,,
stage1,나레이션,,"(OT 장소에 도착하고 자리에 앉으니, 이내 영상과 함게 신입생 오리엔테이션이 시작한다.)",ToClass4,,
stage1,,나,내가 진짜 대학생이 된 게 실감난다.,,,
stage1,나레이션,,"(오리엔테이션이 진행되는 와중, 갑자기 선배 대학생이 나와서 발표를 시작한다.)",,,
stage1,,선배1,네 안녕하세요. 현재 한국대학교 3학년 재학중인 ….입니다. 반갑습니다.,,,
stage1,,선배1,다들 제가 갑자기 왜 나왔는지 궁금하시죠? ,,,
stage1,,선배1,다름이 아니라 이제 여러분들이 가장 궁금해하시는 부분이죠. 대학생활의 시작인 수강신청 부분에 대하여 설명하려고 나왔습니다.,,,
stage1,나레이션,,(신입생들이 동요한다. 나도 놀라며 집중하기 시작한다.),,,
stage1,,선배1,여기 일단 이번 학기 제 시간표입니다. 되게 깔끔하죠?,,,
stage1,나레이션,,"(월, 화, 수, 목 오후 수업에 금공강까지 완벽에 가까운 시간표이다. 학생들은 놀라고 부러워한다.)",,,
stage1,,선배1,"여러분 1학년때는 필수 과목도 많고, 같이 들어야 할 과목도 많아서 다들 비슷하실 겁니다. 다들 수강신청 올클하세요!",,,
stage1,나레이션,,"(자기 시간표를 자랑한 후, 수강신청 방법 설명 후 발표가 끝났다. 나에게 가장 유익한 정보였다.)",,,
stage1,,나,수강신청을 이렇게 하는 거였네. 생각보다 까다롭네.,,,
stage1,나레이션,,(나는 꼭 수강신청을 다 올클하겠다는 마음가짐을 한다.),,,
stage1,나레이션,,"(또다시 친구들과의 즐거운 시간을 보내고 난 후, 드디어 수강신청 당일 아침이 밝았다.)",ToRoad,,
stage1,,나,정확히 정각에 클릭하면 되는 거겠지? 좋아.,ToRoom,,
stage1,나레이션,,"(나는 자신이 들어야 하는 과목들을 다 담아놓고, 정각이 오기만을 기다린다.)",,,
stage1,끝,,,StartStage1,,
,,,,,,
s1_success,,나,와 좋았다! 시간표 꿀인데?,,,
s1_success,나레이션,,멘탈지수 상승,,s1_friend,50
,,,,,,
s1_fail,,나,하…. 1학년인데 벌써 이정도라고? 이러면 나중에는 어떡하냐.,,,
